component_id_v0_2,label_zh,component_family,major_category,source_component_id_v0_1,source_image_path_v0_1,legacy_refs,semantic_alias_refs,needs_review,notes
COMP-801,入乱,rhythm_marker_family,节奏谱字,COMP-100,sources/qxby_component_atlas/images/jiezou_puzi/COMP-100_入乱.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-802,入慢,rhythm_marker_family,节奏谱字,COMP-101,sources/qxby_component_atlas/images/jiezou_puzi/COMP-101_入慢.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-803,入拍,rhythm_marker_family,节奏谱字,COMP-102,sources/qxby_component_atlas/images/jiezou_puzi/COMP-102_入拍.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-804,大慢,rhythm_marker_family,节奏谱字,COMP-103,sources/qxby_component_atlas/images/jiezou_puzi/COMP-103_大慢.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-805,实,rhythm_marker_family,节奏谱字,COMP-104,sources/qxby_component_atlas/images/jiezou_puzi/COMP-104_实.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-806,少息,rhythm_marker_family,节奏谱字,COMP-105,sources/qxby_component_atlas/images/jiezou_puzi/COMP-105_少息.png,COMP-003,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-807,急,rhythm_marker_family,节奏谱字,COMP-106,sources/qxby_component_atlas/images/jiezou_puzi/COMP-106_急.png,COMP-030,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-808,急作,rhythm_marker_family,节奏谱字,COMP-107,sources/qxby_component_atlas/images/jiezou_puzi/COMP-107_急作.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-809,息,rhythm_marker_family,节奏谱字,COMP-108,sources/qxby_component_atlas/images/jiezou_puzi/COMP-108_息.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-810,慢,rhythm_marker_family,节奏谱字,COMP-109,sources/qxby_component_atlas/images/jiezou_puzi/COMP-109_慢.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-811,接,rhythm_marker_family,节奏谱字,COMP-110,sources/qxby_component_atlas/images/jiezou_puzi/COMP-110_接.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-812,渐慢,rhythm_marker_family,节奏谱字,COMP-111,sources/qxby_component_atlas/images/jiezou_puzi/COMP-111_渐慢.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-813,紧,rhythm_marker_family,节奏谱字,COMP-112,sources/qxby_component_atlas/images/jiezou_puzi/COMP-112_紧.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-814,缓,rhythm_marker_family,节奏谱字,COMP-113,sources/qxby_component_atlas/images/jiezou_puzi/COMP-113_缓.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-815,缓作,rhythm_marker_family,节奏谱字,COMP-114,sources/qxby_component_atlas/images/jiezou_puzi/COMP-114_缓作.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-816,蓄,rhythm_marker_family,节奏谱字,COMP-115,sources/qxby_component_atlas/images/jiezou_puzi/COMP-115_蓄.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-817,虚,rhythm_marker_family,节奏谱字,COMP-116,sources/qxby_component_atlas/images/jiezou_puzi/COMP-116_虚.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-818,踢宕,rhythm_marker_family,节奏谱字,COMP-117,sources/qxby_component_atlas/images/jiezou_puzi/COMP-117_踢宕.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-819,轻,rhythm_marker_family,节奏谱字,COMP-118,sources/qxby_component_atlas/images/jiezou_puzi/COMP-118_轻.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-820,连,rhythm_marker_family,节奏谱字,COMP-119,sources/qxby_component_atlas/images/jiezou_puzi/COMP-119_连.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-821,重,rhythm_marker_family,节奏谱字,COMP-120,sources/qxby_component_atlas/images/jiezou_puzi/COMP-120_重.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-822,顿,rhythm_marker_family,节奏谱字,COMP-121,sources/qxby_component_atlas/images/jiezou_puzi/COMP-121_顿.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-901,不动,generic_score_marker_family,通用谱字,COMP-122,sources/qxby_component_atlas/images/tongyong_puzi/COMP-122_不动.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-902,二作,generic_score_marker_family,通用谱字,COMP-123,sources/qxby_component_atlas/images/tongyong_puzi/COMP-123_二作.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-903,从勾再作,generic_score_marker_family,通用谱字,COMP-124,sources/qxby_component_atlas/images/tongyong_puzi/COMP-124_从勾再作.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-904,从头再作,generic_score_marker_family,通用谱字,COMP-125,sources/qxby_component_atlas/images/tongyong_puzi/COMP-125_从头再作.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-905,再作,generic_score_marker_family,通用谱字,COMP-126,sources/qxby_component_atlas/images/tongyong_puzi/COMP-126_再作.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-906,句,generic_score_marker_family,通用谱字,COMP-127,sources/qxby_component_atlas/images/tongyong_puzi/COMP-127_句.png,COMP-005,COMP-005:punctuation_label_alias,true,category_based_v0_2 primary ID; source image not rewritten
COMP-907,就,generic_score_marker_family,通用谱字,COMP-128,sources/qxby_component_atlas/images/tongyong_puzi/COMP-128_就.png,COMP-023,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-908,换,generic_score_marker_family,通用谱字,COMP-129,sources/qxby_component_atlas/images/tongyong_puzi/COMP-129_换.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-909,操终,generic_score_marker_family,通用谱字,COMP-130,sources/qxby_component_atlas/images/tongyong_puzi/COMP-130_操终.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-910,曲终,generic_score_marker_family,通用谱字,COMP-131,sources/qxby_component_atlas/images/tongyong_puzi/COMP-131_曲终.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-911,末,generic_score_marker_family,通用谱字,COMP-132,sources/qxby_component_atlas/images/tongyong_puzi/COMP-132_末.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-912,次,generic_score_marker_family,通用谱字,COMP-133,sources/qxby_component_atlas/images/tongyong_puzi/COMP-133_次.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-913,段,generic_score_marker_family,通用谱字,COMP-134,sources/qxby_component_atlas/images/tongyong_puzi/COMP-134_段.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-914,至,generic_score_marker_family,通用谱字,COMP-135,sources/qxby_component_atlas/images/tongyong_puzi/COMP-135_至.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-915,调终,generic_score_marker_family,通用谱字,COMP-136,sources/qxby_component_atlas/images/tongyong_puzi/COMP-136_调终.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-701,弦,sound_position_marker_family,音位谱字,COMP-137,sources/qxby_component_atlas/images/yinwei_puzi/COMP-137_弦.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-702,徽,sound_position_marker_family,音位谱字,COMP-138,sources/qxby_component_atlas/images/yinwei_puzi/COMP-138_徽.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-703,指,sound_position_marker_family,音位谱字,COMP-139,sources/qxby_component_atlas/images/yinwei_puzi/COMP-139_指.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-704,按,sound_position_marker_family,音位谱字,COMP-140,sources/qxby_component_atlas/images/yinwei_puzi/COMP-140_按.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-705,散,sound_position_marker_family,音位谱字,COMP-141,sources/qxby_component_atlas/images/yinwei_puzi/COMP-141_散.png,COMP-027,COMP-027:sound_state_label_alias,true,category_based_v0_2 primary ID; source image not rewritten
COMP-706,泛,sound_position_marker_family,音位谱字,COMP-142,sources/qxby_component_atlas/images/yinwei_puzi/COMP-142_泛.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-707,泛止,sound_position_marker_family,音位谱字,COMP-143,sources/qxby_component_atlas/images/yinwei_puzi/COMP-143_泛止.png,COMP-017,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-708,泛起,sound_position_marker_family,音位谱字,COMP-144,sources/qxby_component_atlas/images/yinwei_puzi/COMP-144_泛起.png,COMP-002,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-201,三弹,right_hand_two_string_family,右手指法-两弦双弹,COMP-145,sources/qxby_component_atlas/images/rh_two_string_double_pluck/COMP-145_三弹.png,,,false,category_based_v0_2 primary ID; source image not rewritten
COMP-202,伏,right_hand_two_string_family,右手指法-两弦双弹,COMP-146,sources/qxby_component_atlas/images/rh_two_string_double_pluck/COMP-146_伏.png,,,false,category_based_v0_2 primary ID; source image not rewritten
