file_id,recording_session_id,recording_id,piece_id,qinist_id,qin_id,tuning_id,batch_id,original_filename,stored_path,sha256,file_size_bytes,extension,detected_format,codec,duration_s,sample_rate,channels,bit_rate,asset_class,production_grade,usage_scope,not_for,qc_status,notes
RS_XWC_001_MVP_PILOT_batch01,RS_XWC_001_MVP_PILOT,RS_XWC_001,XWC,QINIST_001,QIN_A,ZHENG_DIAO,batch01,batch01.m4a,02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/raw/batch01.m4a,67d9a303a7087efdb8d48232fb8099561797466e5748161ccb55af96c1815dad,2074757,.m4a,unknown,unknown,unknown,unknown,unknown,unknown,mvp_experimental_raw,false,MVP pipeline experiment;rough segmentation test;sample selection prototype;render feasibility test;listening workflow test,final production sample library;long-term Sanman standard sample archive;ML training baseline,registered_for_mvp_experiment,raw preserved; not segmented; not sample asset; M4A/AAC experimental source
RS_XWC_001_MVP_PILOT_batch02,RS_XWC_001_MVP_PILOT,RS_XWC_001,XWC,QINIST_001,QIN_A,ZHENG_DIAO,batch02,batch02.m4a,02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/raw/batch02.m4a,1e96ba37f96e88bb175d7ffa3bee65cd73e0465e7d92db50b18e623e8a7f8980,841279,.m4a,unknown,unknown,unknown,unknown,unknown,unknown,mvp_experimental_raw,false,MVP pipeline experiment;rough segmentation test;sample selection prototype;render feasibility test;listening workflow test,final production sample library;long-term Sanman standard sample archive;ML training baseline,registered_for_mvp_experiment,raw preserved; not segmented; not sample asset; M4A/AAC experimental source
RS_XWC_001_MVP_PILOT_batch03,RS_XWC_001_MVP_PILOT,RS_XWC_001,XWC,QINIST_001,QIN_A,ZHENG_DIAO,batch03,batch03.m4a,02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/raw/batch03.m4a,30f4febffab858af76f0656a1d2d0187160a485ec3457ffd3a31ba3bc43d243a,2520948,.m4a,unknown,unknown,unknown,unknown,unknown,unknown,mvp_experimental_raw,false,MVP pipeline experiment;rough segmentation test;sample selection prototype;render feasibility test;listening workflow test,final production sample library;long-term Sanman standard sample archive;ML training baseline,registered_for_mvp_experiment,raw preserved; not segmented; not sample asset; M4A/AAC experimental source
RS_XWC_001_MVP_PILOT_batch04,RS_XWC_001_MVP_PILOT,RS_XWC_001,XWC,QINIST_001,QIN_A,ZHENG_DIAO,batch04,batch04.m4a,02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/raw/batch04.m4a,6ce5389a7666cfe35a5a37ea61a02d2e3bca5f9c8f4566e3a72729f3bfbe8863,2078107,.m4a,unknown,unknown,unknown,unknown,unknown,unknown,mvp_experimental_raw,false,MVP pipeline experiment;rough segmentation test;sample selection prototype;render feasibility test;listening workflow test,final production sample library;long-term Sanman standard sample archive;ML training baseline,registered_for_mvp_experiment,raw preserved; not segmented; not sample asset; M4A/AAC experimental source
RS_XWC_001_MVP_PILOT_batch05,RS_XWC_001_MVP_PILOT,RS_XWC_001,XWC,QINIST_001,QIN_A,ZHENG_DIAO,batch05,batch05.m4a,02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/raw/batch05.m4a,8e5bee6341a395bbb22beb2dc822541f0b2db05735d8cf43824d676d85aa7b6b,613240,.m4a,unknown,unknown,unknown,unknown,unknown,unknown,mvp_experimental_raw,false,MVP pipeline experiment;rough segmentation test;sample selection prototype;render feasibility test;listening workflow test,final production sample library;long-term Sanman standard sample archive;ML training baseline,registered_for_mvp_experiment,raw preserved; not segmented; not sample asset; M4A/AAC experimental source
RS_XWC_001_MVP_PILOT_batch06,RS_XWC_001_MVP_PILOT,RS_XWC_001,XWC,QINIST_001,QIN_A,ZHENG_DIAO,batch06,batch06.m4a,02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/raw/batch06.m4a,5af75e5a766c29af8d2bca8fea6e5f5dc8576476b2f6df06535a1c15d66ae375,721440,.m4a,unknown,unknown,unknown,unknown,unknown,unknown,mvp_experimental_raw,false,MVP pipeline experiment;rough segmentation test;sample selection prototype;render feasibility test;listening workflow test,final production sample library;long-term Sanman standard sample archive;ML training baseline,registered_for_mvp_experiment,raw preserved; not segmented; not sample asset; M4A/AAC experimental source
RS_XWC_001_MVP_PILOT_batch07,RS_XWC_001_MVP_PILOT,RS_XWC_001,XWC,QINIST_001,QIN_A,ZHENG_DIAO,batch07,batch07.m4a,02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/raw/batch07.m4a,3d1bd50b74e766848f52a066c4998d8cd5d864a678e2cf6b5526d6ae1e86161a,492596,.m4a,unknown,unknown,unknown,unknown,unknown,unknown,mvp_experimental_raw,false,MVP pipeline experiment;rough segmentation test;sample selection prototype;render feasibility test;listening workflow test,final production sample library;long-term Sanman standard sample archive;ML training baseline,registered_for_mvp_experiment,raw preserved; not segmented; not sample asset; M4A/AAC experimental source
