asr_candidate_id,recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,slate_no,script_id,source_raw_audio,expected_spoken_slate_text,asr_accepted_variants,recognized_slate_text,matched_spoken_slate_text,asr_start_s,asr_end_s,asr_confidence,asr_model,asr_language,match_status,candidate_status,requires_manual_review,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data,notes
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T041,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T041,001,041,RS_XWC_002_041,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四幺,零四幺;零四一,041,041,0.000,3.000,0.808375,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required. High no_speech_prob=0.559203; verify boundary carefully."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T042,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T042,002,042,RS_XWC_002_042,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四二,零四二,042,042,11.700,14.500,0.964461,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required. High no_speech_prob=0.559203; verify boundary carefully."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T043,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T043,003,043,RS_XWC_002_043,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四三,零四三,043,043,21.000,23.140,0.963914,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required. High no_speech_prob=0.559203; verify boundary carefully."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T044,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T044,004,044,RS_XWC_002_044,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四四,零四四,044,044,33.020,35.820,0.579620,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T045,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T045,005,045,RS_XWC_002_045,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四五,零四五,045,045,39.900,42.000,0.842216,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T046,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T046,006,046,RS_XWC_002_046,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四六,零四六,046,046,50.000,51.220,0.737502,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T047,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T047,007,047,RS_XWC_002_047,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四七,零四七,047,047,62.220,65.020,0.618302,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T048,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T048,008,048,RS_XWC_002_048,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四八,零四八,048,048,68.560,71.200,0.715184,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T049,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T049,009,049,RS_XWC_002_049,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零四九,零四九,049,049,78.500,80.000,0.770802,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch05_T050,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch05,T050,010,050,RS_XWC_002_050,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch05_T041-T050.wav,零五零,零五零,050,050,87.820,90.140,0.912856,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,duplicate,ambiguous,true,true,false,true,true,true,"Multiple ASR transcript segments matched this slate; first segment is surfaced as candidate, manual review required. duplicate_segment_indices=10,11"
